44.000000	1.702777	0.000659	3.275976	0.023930
45.000000	1.703169	0.000675	3.299725	0.023574
46.000000	1.703561	0.000690	3.323124	0.023231
47.000000	1.703954	0.000705	3.346186	0.022900
48.000000	1.704347	0.000720	3.368924	0.022582
49.000000	1.704740	0.000735	3.391350	0.022275
50.000000	1.705134	0.000750	3.413474	0.021978
51.000000	1.705527	0.000765	3.435307	0.021692
52.000000	1.705921	0.000780	3.456858	0.021415
53.000000	1.706315	0.000795	3.478137	0.021147
54.000000	1.706709	0.000810	3.499152	0.020888
55.000000	1.707103	0.000825	3.519912	0.020636
56.000000	1.707498	0.000841	3.540425	0.020393
57.000000	1.707892	0.000856	3.560698	0.020157
58.000000	1.708287	0.000871	3.580739	0.019928
59.000000	1.708682	0.000886	3.600554	0.019706
60.000000	1.709078	0.000901	3.620151	0.019490
61.000000	1.709473	0.000916	3.639534	0.019280
62.000000	1.709869	0.000931	3.658711	0.019077
63.000000	1.710265	0.000946	3.677687	0.018878
64.000000	1.710661	0.000961	3.696468	0.018686
65.000000	1.711057	0.000977	3.715058	0.018498
66.000000	1.711454	0.000992	3.733464	0.018315
67.000000	1.711850	0.001007	3.751689	0.018137
68.000000	1.712247	0.001022	3.769738	0.017964
69.000000	1.712644	0.001037	3.787616	0.017795
70.000000	1.713042	0.001052	3.805328	0.017630
71.000000	1.713439	0.001067	3.822876	0.017469
72.000000	1.713837	0.001083	3.840266	0.017312
73.000000	1.714235	0.001098	3.857501	0.017159
74.000000	1.714633	0.001113	3.874585	0.017010
75.000000	1.715031	0.001128	3.891521	0.016864
76.000000	1.715430	0.001143	3.908312	0.016721
77.000000	1.715828	0.001158	3.924963	0.016582
78.000000	1.716227	0.001174	3.941476	0.016445
79.000000	1.716626	0.001189	3.957854	0.016312
80.000000	1.717026	0.001204	3.974100	0.016182
81.000000	1.717425	0.001219	3.990217	0.016054
82.000000	1.717825	0.001234	4.006208	0.015929
83.000000	1.718225	0.001250	4.022076	0.015807
84.000000	1.718625	0.001265	4.037823	0.015688
85.000000	1.719025	0.001280	4.053451	0.015570
86.000000	1.719426	0.001295	4.068964	0.015456
87.000000	1.719826	0.001310	4.084363	0.015343
88.000000	1.720227	0.001326	4.099650	0.015233
89.000000	1.720628	0.001341	4.114829	0.015125
90.000000	1.721030	0.001356	4.129901	0.015019
91.000000	1.721431	0.001371	4.144867	0.014915
92.000000	1.721833	0.001387	4.159731	0.014814
93.000000	1.722235	0.001402	4.174494	0.014714
94.000000	1.722637	0.001417	4.189159	0.014616
95.000000	1.723039	0.001432	4.203726	0.014519
96.000000	1.723442	0.001448	4.218197	0.014425
97.000000	1.723844	0.001463	4.232575	0.014332
98.000000	1.724247	0.001478	4.246861	0.014241
99.000000	1.724651	0.001493	4.261057	0.014152
100.000000	1.725054	0.001509	4.275165	0.014064
101.000000	1.725457	0.001524	4.289185	0.013977
102.000000	1.725861	0.001539	4.303120	0.013893
103.000000	1.726265	0.001554	4.316970	0.013809
104.000000	1.726669	0.001570	4.330738	0.013727
105.000000	1.727074	0.001585	4.344425	0.013647
106.000000	1.727478	0.001600	4.358032	0.013568
107.000000	1.727883	0.001615	4.371560	0.013490
108.000000	1.728288	0.001631	4.385011	0.013413
109.000000	1.728693	0.001646	4.398387	0.013338
110.000000	1.729098	0.001661	4.411687	0.013264
111.000000	1.729504	0.001677	4.424914	0.013191
